Date,Code,Open,High,Low,Close,Preclose,Volume,Amount,adjustflag,Turn,tradestatus,pctChg,isST
2021-03-26,sh.601899,9.6000,10.0200,9.5200,9.9100,9.5600,408898176,3995802972.5200,3,2.081900,1,3.661100,0
2021-03-29,sh.601899,9.9200,10.0000,9.6500,9.9300,9.9100,295006016,2907970634.9300,3,1.502000,1,0.201800,0
2021-03-30,sh.601899,9.8100,10.1600,9.6800,9.9300,9.9300,296079312,2938037286.7800,3,1.507500,1,0.000000,0
2021-03-31,sh.601899,9.8100,9.8300,9.4500,9.6200,9.9300,341747840,3274537357.5400,3,1.740000,1,-3.121900,0
2021-04-01,sh.601899,9.7200,9.8200,9.6100,9.7400,9.6200,230815665,2240304734.5800,3,1.175200,1,1.247400,0
2021-04-02,sh.601899,9.8500,10.1400,9.8200,10.1300,9.7400,395349728,3962425756.4800,3,2.012900,1,4.004100,0
2021-04-06,sh.601899,10.3500,10.4400,10.1300,10.1500,10.1300,306084880,3141800029.6400,3,1.558500,1,0.197400,0
2021-04-07,sh.601899,10.2500,10.2900,9.9000,10.2400,10.1500,253068408,2555155700.6000,3,1.288500,1,0.886700,0
2021-04-08,sh.601899,10.2000,10.6800,10.0700,10.5300,10.2400,409922288,4297622177.3000,3,2.087100,1,2.832000,0
2021-04-09,sh.601899,10.5900,10.6200,10.2500,10.2900,10.5300,227726836,2361921476.6000,3,1.159500,1,-2.279200,0
2021-04-12,sh.601899,10.1700,10.1700,9.6000,9.6800,10.2900,382576976,3746359620.5300,3,1.947900,1,-5.928100,0
2021-04-13,sh.601899,9.5900,9.8300,9.5100,9.7000,9.6800,215462208,2092158730.1300,3,1.097000,1,0.206600,0
2021-04-14,sh.601899,9.7200,9.9700,9.7200,9.9300,9.7000,222354597,2196393986.4800,3,1.132100,1,2.371100,0
2021-04-15,sh.601899,10.1000,10.2400,9.8000,10.2100,9.9300,283596688,2851263081.4100,3,1.444000,1,2.819700,0
2021-04-16,sh.601899,10.5700,10.6900,10.2000,10.2300,10.2100,411957776,4305401933.3000,3,2.097500,1,0.195900,0
2021-04-19,sh.601899,10.2400,10.6500,9.9800,10.6500,10.2300,399896656,4173023437.7100,3,2.036100,1,4.105600,0
2021-04-20,sh.601899,10.5000,10.8600,10.4600,10.7400,10.6500,375163760,4012678441.9400,3,1.910200,1,0.845100,0
2021-04-21,sh.601899,10.5000,10.6600,10.3500,10.5500,10.7400,240994349,2536689651.2300,3,1.227000,1,-1.769100,0
2021-04-22,sh.601899,10.6600,10.8300,10.5200,10.6000,10.5500,258894772,2766959349.1700,3,1.318200,1,0.473900,0
2021-04-23,sh.601899,10.5600,10.8200,10.4100,10.7800,10.6000,285518032,3056599835.5900,3,1.453700,1,1.698100,0
2021-04-26,sh.601899,11.0300,11.4000,10.9300,11.1500,10.7800,486226800,5443923867.2700,3,2.475700,1,3.432300,0
2021-04-27,sh.601899,11.3200,11.5400,11.0100,11.2900,11.1500,490881808,5550831104.0800,3,2.499400,1,1.255600,0
2021-04-28,sh.601899,11.0200,11.2300,10.8500,11.0900,11.2900,299160544,3308172913.0900,3,1.523200,1,-1.771500,0
2021-04-29,sh.601899,11.3100,11.4800,11.1600,11.3600,11.0900,352853728,3995319718.3100,3,1.796600,1,2.434600,0
2021-04-30,sh.601899,11.2000,11.4100,10.8500,11.0300,11.3600,369975088,4087299495.1700,3,1.883800,1,-2.904900,0
2021-05-06,sh.601899,11.5600,11.9700,11.4100,11.5400,11.0300,498383280,5803831804.3100,3,2.537600,1,4.623800,0
